index,handle,display_name,priority_tier,verification_status
0,@COFI_INFO,BC Council of Forest Industries,A,Research-verified 2026
1,@BCForestSafety,BC Forest Safety Council,A,Candidate — verify before automation
2,@CanforCorp,Canfor,A,Research-verified 2026
3,@UBCForestry,UBC Faculty of Forestry,A,Research-verified via current network
4,@CanadianForestInd,Canadian Forest Industries,A,Candidate — verify before automation
5,@CIF_IFC,Canadian Institute of Forestry,A,Research-verified 2026
6,@FPInnovations,FPInnovations,A,Research-verified 2026
7,@FPAC_APFC,Forest Products Association of Canada,A,Research-verified 2026
8,@Autolog,Autolog,A,Candidate — verify before automation
9,@BIDGroup,BID Group,A,Candidate — verify before automation
10,@LumberNews,Madison's Lumber Prices,A,Research-verified 2026
11,@TreeFrogNews,Tree Frog Forestry News,A,Research-verified 2026
12,@OntarioForestry,Ontario Forest Industries Association,A,Candidate — verify before automation
13,@ONresources,Ontario Ministry of Natural Resources,A,Strong-confidence profile
14,@LoggingSawmilling,Logging & Sawmilling Journal,A,Candidate — verify before automation
15,@usfs_rmrs,Rocky Mountain Research Station,A,Research-verified 2026
16,@LakeStatesLogging,Great Lakes Timber Professionals Association,A,Candidate — verify before automation
17,@GLTPA,Great Lakes Timber Professionals Association,A,Candidate — verify before automation
18,@mnforestry,Minnesota DNR Forestry,A,Strong-confidence profile
19,@ForestandPaper,American Forest & Paper Association,A,Strong-confidence profile
20,@AFMForestry,American Forest Management,A,Candidate — verify before automation
21,@2x4seven,Ashley Boeckholt,A,Research-verified 2026
22,@BTGTimberland,BTG Pactual Timberland Investment Group,A,Candidate — verify before automation
23,@CampbellGlobal,Campbell Global,A,Candidate — verify before automation
24,@fsWoodLab,Forest Products Laboratory,A,Research-verified 2026
25,@ForestResources,Forest Resources Association,A,Research-verified 2026
26,@Forisk,Forisk Consulting,A,Candidate — verify before automation
27,@NAFO_Forests,National Alliance of Forest Owners,A,Strong-confidence profile
28,@StateForesters,National Association of State Foresters,A,Research-verified 2026
29,@NHLA_Official,National Hardwood Lumber Association,A,Research-verified 2026
30,@PotlatchDeltic,PotlatchDeltic,A,Candidate — verify before automation
31,@foresters,Society of American Foresters,A,Strong-confidence profile
32,@timberharvmag,Timber Harvesting Magazine,A,Research-verified 2026
33,@timberpromag,Timber Processing Magazine,A,Research-verified 2026
34,@forestservice,USDA Forest Service,A,Research-verified 2026
35,@Weyerhaeuser,Weyerhaeuser,A,Strong-confidence profile
36,@wood_mizer,Wood-Mizer,A,Strong-confidence profile
