priority,list_name,owner,list_id,url,members,relevance_tier,cluster,notes
1,Forestry News,@unknown,933088564329377793,https://x.com/i/lists/933088564329377793,51,very_high,forestry,"Forest-industry feeds; mine first."
2,lumber,@hutone,1293568023299862528,https://x.com/i/lists/1293568023299862528,136,very_high,lumber,"Strong lumber pool; screen manually."
3,Forestry and Land,@unknown,994249395955732480,https://x.com/i/lists/994249395955732480,256,high,uk_forestry,"Scotland/UK professional forestry and land-management pool."
4,forestry,@treeplanting,906970,https://x.com/i/lists/906970,307,high,forestry,"Broad established forestry network; business screening required."
5,Forestry News,@woodlandsteward,31431440,https://x.com/i/lists/31431440,182,high,forestry,"Private woodland, consulting, extension and professional forestry."
6,Forestry Organizations,@xinxin_ant,1262971056509222912,https://x.com/i/lists/1262971056509222912,39,high,forestry_hubs,"Organizations useful for hub-and-spoke discovery."
7,Forestry,@unknown,734009588475777024,https://x.com/i/lists/734009588475777024,77,medium_high,forestry,"General forestry pool; scan selectively."
8,ForestryInfluencers,@soyforestal,216455483,https://x.com/i/lists/216455483,108,medium_high,research_institutional,"International sector voices and connected accounts."
9,Timber and construction,@unknown,118899368,https://x.com/i/lists/118899368,37,medium_high,lumber_timber,"Timber construction and mass-timber-adjacent accounts."
10,Lumber,@unknown,1382398723259396096,https://x.com/i/lists/1382398723259396096,56,medium_high,lumber,"Manageable lumber pool; likely overlap with @hutone list."
11,Biomass,@biomassmuse,53575674,https://x.com/i/lists/53575674,454,medium,biomass,"Useful for wood energy, pellets, residues; remove generic renewables/ag biomass."
12,energy/biofuels/biomass,@benlubbon,30330995,https://x.com/i/lists/30330995,437,medium,biomass,"Broad biomass/biofuel pool; substantial non-wood content."
13,Industrial Biorefineries,@lpltda,52070214,https://x.com/i/lists/52070214,269,medium,biomass,"Advanced wood products, residues and conversion technology."
14,H2020 Societal challenge2,@REA_research,1184389408176377856,https://x.com/i/lists/1184389408176377856,290,medium_low,research_institutional,"European forestry/bioeconomy projects; use selectively."
15,Forests/Forestry,@YaleE360,36537289,https://x.com/i/lists/36537289,48,selective,research_institutional,"Compact institutional/expert pool; not a primary business list."
